english_name,display_name
"3 pirate ships","3艘海盗船"
"amazonian wonders","雨林"
"beach fun","沙滩"
"bee workshop","蜜蜂"
"big five","非洲5霸"
"blessing of ice and fire","冰火"
"candy crash","糖果"
"chicken run","小鸡快跑"
"christmas gift","圣诞节"
"churrasco","巴西烤肉"
"club goddess","台球"
"coin master go","AACoin Master GO"
"crash 2","crash 2"
"crazy 777","AACrazy 777"
"crazy birds","AACrazy Birds"
"crazy gems","AACrazy Gems"
"crazy halloween","万圣节"
"crazy piggy","AACrazy Piggy"
"crypto","Crypto"
"curupira","库鲁皮拉"
"cyber go","Cyber GO"
"diamond farmer","AA钻石农夫"
"double 2","double 2"
"edm mania","DJ猫"
"electro fiesta","电音派对"
"emissary","死神"
"farm town","农场"
"fight for blood","血斗擂台"
"fishing go","Fishing GO"
"fortune panda","熊猫1"
"foxy's egg heist","狐狸偷蛋"
"freedom day","自由日"
"fruit slots","Fruit Slots"
"fruit slots 3","fruit slots 3"
"fruits crash","Fruits Crash"
"galactic go","Galactic GO"
"game lobby","Game Lobby"
"glacier treasure","冰川"
"goal riot","铁笼足球"
"goalshoot","GoalShoot"
"halloween meow","万圣喵"
"hidden realm","龙蛋"
"hotpot","火锅"
"jaguar kickoff","美洲豹足球"
"jungle fruit","Jungle Fruit"
"jungle gems","Jungle Gems"
"jungle king","Jungle King"
"jungle party","AAJungle Party"
"jungle treasure","AAJungle Treasure"
"jurassic jungle","AAJurassic Jungle"
"keno","Keno"
"kung fu panda's fortune","新熊猫2"
"lucky 777","AALucky 777"
"lucky cat","AA猫"
"lucky cat ⅱ","AA猫2"
"lucky dice","Lucky Dice"
"lucky dragon","AALucky Dragon"
"lucky monkey","Lucky Monkey"
"lucky night market","夜市"
"lucky panda","AA熊猫"
"lucky roller","Lucky Roller"
"lucky roller 2","Lucky Roller 2"
"lucky santa","AALucky Santa"
"lucky tycoon","大富翁"
"lucky wheel","AALucky Wheel"
"magic scroll","猫头鹰1"
"magic scroll 2","猫头鹰2"
"maya treasure","玛雅"
"mermaid","Mermaid"
"mine","Mine"
"mine 2","Mine 2"
"mine 3","Mine 3"
"monster slayer","马路"
"night strike","黑帮"
"ocean go","AAOcean GO"
"phantom ship","幽灵船"
"plinko","Plinko"
"ring","Ring"
"rio carnival","AARio Carnival"
"saci","AA撒西"
"samba sensation","桑巴"
"secretary","Secretary"
"sharpshooter","神枪手"
"stairs","Stairs"
"sunshine coast","阳光沙滩"
"super joker","AA 小丑"
"the legend of panda","熊猫2"
"tower","Tower"
"treasure hunt","矿工"
"triple","Triple"
"werewolf","AA狼人"
"wu kong","悟空"
